Títulos;Activo;Precio;Cantidad
10,87261053;GVC Gaesco Bolsalíder A FI;9,20;100,00
10,62384567;GVC Gaesco Bolsalíder A FI;9,41;100,00
7,7;GVC Gaesco 300 Places Worldwide;12,99;100,00
7,56;GVC Gaesco 300 Places Worldwide;13,23;100,00
10,62535108;GVC Gaesco Bolsalíder A FI;9,41;100,00
7,4;GVC Gaesco 300 Places Worldwide;13,51;100,00
10,52220293;GVC Gaesco Bolsalíder A FI;9,50;100,00
399,7;GVC Gaesco Renta Fija Horizonte;100,08;40.000,00
473,13;GVC Gaesco Constantfons FI;9,13;4.319,56
10,58614351;GVC Gaesco Bolsalíder A FI;9,45;100,00
7,48;GVC Gaesco 300 Places Worldwide;13,37;100,00
11,16173323;GVC Gaesco Bolsalíder A FI;8,96;100,00
8,04;GVC Gaesco 300 Places Worldwide;12,44;100,00
10,94330795;GVC Gaesco Bolsalíder A FI;9,14;100,00
8,12;GVC Gaesco 300 Places Worldwide;12,32;100,00
8,34;GVC Gaesco 300 Places Worldwide;11,99;100,00
11,59110617;GVC Gaesco Bolsalíder A FI;8,63;100,00
10,71033949;GVC Gaesco Bolsalíder A FI;9,34;100,00
7,66;GVC Gaesco 300 Places Worldwide;13,05;100,00
8,08;GVC Gaesco 300 Places Worldwide;12,38;100,00
11,31635122;GVC Gaesco Bolsalíder A FI;8,84;100,00
8,98;GVC Gaesco 300 Places Worldwide;11,14;100,00
12,50473215;GVC Gaesco Bolsalíder A FI;8,00;100,00
5,223225;Baskepensiones renta fija a corto EPSV;6,79;35,45
8,78;GVC Gaesco 300 Places Worldwide;11,39;100,00
12,31621394;GVC Gaesco Bolsalíder A FI;8,12;100,00
13,55692216;GVC Gaesco Bolsalíder A FI;7,38;100,00
9,98;GVC Gaesco 300 Places Worldwide;10,02;100,00
8,84;GVC Gaesco 300 Places Worldwide;11,31;100,00
12,81240688;GVC Gaesco Bolsalíder A FI;7,80;100,00
8,32;GVC Gaesco 300 Places Worldwide;12,02;100,00
11,95583396;GVC Gaesco Bolsalíder A FI;8,36;100,00
9,48;GVC Gaesco 300 Places Worldwide;10,55;100,00
12,72672637;GVC Gaesco Bolsalíder A FI;7,86;100,00
11,95341435;GVC Gaesco Bolsalíder A FI;8,37;100,00
9,18;GVC Gaesco 300 Places Worldwide;10,89;100,00
8,2;GVC Gaesco 300 Places Worldwide;12,20;100,00
11,96961895;GVC Gaesco Bolsalíder A FI;8,35;100,00
7,7;GVC Gaesco 300 Places Worldwide;12,99;100,00
11,55874673;GVC Gaesco Bolsalíder A FI;8,65;100,00
12,21751694;GVC Gaesco Bolsalíder A FI;8,18;100,00
8,56;GVC Gaesco 300 Places Worldwide;11,68;100,00
10,88594365;GVC Gaesco Bolsalíder A FI;9,19;100,00
7,24;GVC Gaesco 300 Places Worldwide;13,81;100,00
7,66;GVC Gaesco 300 Places Worldwide;13,05;100,00
10,6994139;GVC Gaesco Bolsalíder A FI;9,35;100,00
80,161137;Baskepensiones Bolsa Euro EPSV;56,94;4.564,00
11,74014078;GVC Gaesco Bolsalíder A FI;8,52;100,00
8,56;GVC Gaesco 300 Places Worldwide;11,68;100,00
